Original_Title,Cleaned_Title,Cluster,Cluster_Name
Daddy Yankee x El Alfa x Lil Jon - Bomb贸n | Coreo por Emir Abdul Gani y Juli Berois ,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,5,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,5,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,5,Emir
Daddy Yankee x El Alfa x Lil Jon - Bomb贸n | Coreo por Emir Abdul Gani y Juli Berois ,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,5,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,5,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,5,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,5,Emir
"BOLA REBOLA - Tropkillaz, J Balvin, Anitta ft. MC Zaac | Choreography by Emir Abdul Gani",bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,5,Emir
"CONTRA LA PARED - Sean Paul, J Balvin | Choreography by Emir Abdul Gani",contra la pared sean paul j balvin choreography emir abdul gani,5,Emir
Daddy Yankee x El Alfa x Lil Jon - Bomb贸n | Coreo por Emir Abdul Gani y Juli Berois ,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,5,Emir
Daddy Yankee - Rumbat贸n | Coreo por Emir Abdul Gani ,daddy yankee rumbatn coreo por emir abdul gani,5,Emir
Daddy Yankee x El Alfa x Lil Jon - Bomb贸n | Coreo por Emir Abdul Gani y Juli Berois ,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,5,Emir
Daddy Yankee x El Alfa x Lil Jon - Bomb贸n | Coreo por Emir Abdul Gani y Juli Berois ,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,5,Emir
"CONTRA LA PARED - Sean Paul, J Balvin | Choreography by Emir Abdul Gani",contra la pared sean paul j balvin choreography emir abdul gani,5,Emir
"BOOTY - C. Tangana, Becky G | Choreography by Emir Abdul Gani",booty c tangana becky g choreography emir abdul gani,5,Emir
ADAN Y EVA - Paulo Londra | Choreography by Emir Abdul Gani,adan eva paulo londra choreography emir abdul gani,5,Emir
"TAKI TAKI - DJ Snake feat Selena Gomez, Ozuna & Cardi B | Choreography Emir Abdul Gani",taki taki dj snake feat selena gomez ozuna cardi b choreography emir abdul gani,5,Emir
GASOLINA - Daddy Yankee | Choreography by Emir Abdul Gani,gasolina daddy yankee choreography emir abdul gani,5,Emir
"NO ME CONOCE (REMIX) - Jhay Cortez, J. Balvin, Bad Bunny | Choreography by Emir Abdul Gani",conoce remix jhay cortez j balvin bad bunny choreography emir abdul gani,5,Emir
Yo Perreo Sola - Bad Bunny | Choreography Emir Abdul Gani,yo perreo sola bad bunny choreography emir abdul gani,5,Emir
Rauw Alejandro & Camilo - Tattoo Remix | COREO OFICIAL by Emir Abdul Gani ,rauw alejandro camilo tattoo remix coreo oficial emir abdul gani,5,Emir
"Sech, Daddy Yankee, J Balvin, Rosal铆a, Farruko - Relaci贸n Remix | Coreo oficial por Emir Abdul Gani",sech daddy yankee j balvin rosala farruko relacin remix coreo oficial por emir abdul gani,5,Emir
Natti Natasha x Farina x Cazzu x La Duraca - Las Nenas | Coreo por Emir Abdul Gani ,natti natasha x farina x cazzu x la duraca las nenas coreo por emir abdul gani,5,Emir
Rauw Alejandro - C煤rame | Coreo por Emir Abdul Gani ┕,rauw alejandro crame coreo por emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
Daddy Yankee x El Alfa x Lil Jon - Bomb贸n | Coreo por Emir Abdul Gani y Juli Berois ,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,5,Emir
Daddy Yankee x El Alfa x Lil Jon - Bomb贸n | Coreo por Emir Abdul Gani y Juli Berois ,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,5,Emir
Daddy Yankee x El Alfa x Lil Jon - Bomb贸n | Coreo por Emir Abdul Gani y Juli Berois ,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,5,Emir
Daddy Yankee x El Alfa x Lil Jon - Bomb贸n | Coreo por Emir Abdul Gani y Juli Berois ,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,5,Emir
"BOLA REBOLA - Tropkillaz, J Balvin, Anitta ft. MC Zaac | Choreography by Emir Abdul Gani",bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,5,Emir
"TINI, Maria Becerra - Mi茅nteme | C贸reo por Emir Abdul Gani ",tini maria becerra minteme creo por emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
"BOLA REBOLA - Tropkillaz, J Balvin, Anitta ft. MC Zaac | Choreography by Emir Abdul Gani",bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,5,Emir
MEJORES COREOGRAFIAS AYMAN 2019 | Choreography Emir Abdul Gani,mejores coreografias ayman 2019 choreography emir abdul gani,5,Emir
REGGAETON - J Balvin | Choreography by Emir Abdul Gani,reggaeton j balvin choreography emir abdul gani,5,Emir
"TINI, Maria Becerra - Mi茅nteme | C贸reo por Emir Abdul Gani ",tini maria becerra minteme creo por emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
REGGAETON - J Balvin | Choreography by Emir Abdul Gani,reggaeton j balvin choreography emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
R.I.P. - Sofia Reyes feat. Rita Ora & Anitta | Choreography by Emir Abdul Gani,rip sofia reyes feat rita ora anitta choreography emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
"CON ALTURA - ROSALA, J Balvin ft. El Guincho | Choreography by Emir Abdul Gani",con altura rosala j balvin el guincho choreography emir abdul gani,5,Emir
"BOLA REBOLA - Tropkillaz, J Balvin, Anitta ft. MC Zaac | Choreography by Emir Abdul Gani",bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,5,Emir
"CONTRA LA PARED - Sean Paul, J Balvin | Choreography by Emir Abdul Gani",contra la pared sean paul j balvin choreography emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani ",becky g el alfa fulanito coreo por emir abdul gani,5,Emir
